,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Kat…,Kat…,LOC,-0.60000000,0.00000000,de,1.00000000,,-1,,,,,,
Stromversorger,Stromversorger,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Landfall,Landfall,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Flutkatastrophe im Ahrtal,Flutkatastrophe im Ahrtal,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Län…,Län…,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Barry,Barry,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Wi…,Wi…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Cantal,Cantal,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Gabrielle,Gabrielle,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Wirbelsturm Melissa,Wirbelsturm Melissa,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Petit-Goave,Petit-Goave,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Dominikanische Republik,Dominikanische Republik,LOC,-1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Hurrikan Melissa,Hurrikan Melissa,LOC,-0.15000000,0.00000000,de,1.00000000,,-1,,,,,,
Jahrhundertsturm,Jahrhundertsturm,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Miami,Miami,LOC,-1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Vereinigten Staaten,Vereinigten Staaten,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Hurrikan-Schäden,Hurrikan-Schäden,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Bermudas,Bermudas,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Tropischer Wirbelsturm,Tropischer Wirbelsturm,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
